date,Meta_spend,Google_spend,Meta_impression,Google_impression,Offline Discount,Revenue
2022/01/03,15091.5,13006.88,1327916,928482,0.05,2871382.03
2022/01/10,8813.2,16782.58,988532,1352211,0.0,3965052.92
2022/01/17,18037.0,12932.42,1959111,891124,0.0,4648492.8
2022/01/24,19462.13,16015.92,2132258,1416860,0.0,5863540.87
2022/01/31,6121.64,24200.0,521823,2117268,0.05,5738606.52
2022/02/07,7935.71,9852.08,674139,733263,0.1,3853513.43
2022/02/14,14060.66,20995.18,1646538,1466531,0.0,5081590.7
2022/02/21,11772.28,19598.48,1128998,1490720,0.1,5052140.85
2022/02/28,13270.24,14647.83,1221366,1251756,0.0,4776306.84
2022/03/07,9497.49,10871.28,945411,865110,0.1,3956323.62
