date,Meta_spend,Google_spend,Meta_impression,Google_impression,Offline Discount,Revenue
2022/01/03,15091.5,13006.88,1327916,928482,0.05,2871382.03
2022/01/10,8813.2,16782.58,988532,1352211,0.0,3965052.92
2022/01/17,18037.0,12932.42,1959111,891124,0.0,4648492.8
2022/01/24,19462.13,16015.92,2132258,1416860,0.0,5863540.87
2022/01/31,6121.64,24200.0,521823,2117268,0.05,5738606.52
2022/02/07,7935.71,9852.08,674139,733263,0.1,3853513.43
2022/02/14,14060.66,20995.18,1646538,1466531,0.0,5081590.7
2022/02/21,11772.28,19598.48,1128998,1490720,0.1,5052140.85
2022/02/28,13270.24,14647.83,1221366,1251756,0.0,4776306.84
2022/03/07,9497.49,10871.28,945411,865110,0.1,3956323.62
2022/03/14,18991.74,18494.81,2022896,1556000,0.15,5498380.11
2022/03/21,18235.34,14983.09,2155871,1138440,0.05,5590949.38
2022/03/28,13717.29,19563.81,1254553,1545296,0.05,5396044.75
2022/04/04,20971.01,18172.2,2453447,1247424,0.1,5941315.89
2022/04/11,16106.91,31590.84,1304569,2591927,0.0,6882794.07
2022/04/18,9473.78,16584.53,968295,1095775,0.0,4947560.52
2022/04/25,15483.04,12604.08,1631277,1018963,0.0,4805027.7
2022/05/02,9103.8,19201.55,766866,1647907,0.0,4832652.93
2022/05/09,18984.54,19477.18,1625334,1245820,0.05,5056454.08
2022/05/16,13095.57,29019.28,1267187,2276022,0.05,6287459.12
2022/05/23,12407.48,24156.02,1472138,1518275,0.1,5814327.17
2022/05/30,10174.38,20432.97,1056525,1670833,0.0,5546992.67
2022/06/06,21785.86,30096.25,2555937,1882063,0.05,7027522.63
2022/06/13,12558.94,11895.71,1408792,1047752,0.0,5474963.96
2022/06/20,11256.14,14415.9,1110927,924379,0.0,4469233.48
2022/06/27,11604.48,13038.98,1292629,1157423,0.05,4575188.34
2022/07/04,16529.86,15733.8,1334182,1322056,0.15,4843966.6
2022/07/11,15462.57,11138.47,1304511,866689,0.05,4175928.05
2022/07/18,15757.84,22523.24,1783426,1880211,0.0,5558756.4
2022/07/25,15872.26,16684.28,1775672,1399034,0.05,5315215.89
2022/08/01,31465.88,10777.52,2810080,952526,0.0,5426187.77
2022/08/08,11355.23,12639.06,1149499,854419,0.1,4020594.86
2022/08/15,10884.59,20125.24,1134616,1563776,0.05,4240760.62
2022/08/22,9647.86,24181.53,1106701,1519844,0.0,4052816.18
2022/08/29,17092.44,36273.97,1779738,2846961,0.0,5738227.88
2022/09/05,20985.54,50003.68,2025164,3257176,0.0,6613518.42
2022/09/12,12764.47,20848.63,1212208,1604270,0.15,4744567.55
2022/09/19,9546.57,12754.78,926354,984323,0.0,3291120.96
2022/09/26,9606.62,8550.83,1019043,632586,0.05,2581696.31
2022/10/03,17330.74,19805.18,1987829,1498835,0.05,3774886.56
2022/10/10,17985.15,13568.02,1765348,1125028,0.0,3704240.76
2022/10/17,16601.72,15593.74,1492720,1309520,0.0,3741291.1
2022/10/24,10237.33,14556.11,915898,1088281,0.15,3247111.45
2022/10/31,14659.8,17166.64,1610241,1338788,0.0,3794127.8
2022/11/07,13998.06,26188.96,1577060,2302980,0.0,5027119.68
2022/11/14,14581.01,19052.76,1227883,1211602,0.05,4215158.03
2022/11/21,18931.29,17059.76,1564905,1083518,0.05,4130724.91
2022/11/28,14609.66,12550.57,1516151,786058,0.15,3862657.38
2022/12/05,17528.18,10035.27,1504740,800171,0.0,3846997.15
2022/12/12,13725.79,15211.28,1550829,1103703,0.0,4329550.11
2022/12/19,14997.63,17697.45,1385982,1472952,0.0,4924603.66
2022/12/26,17197.43,33482.41,1474763,2683177,0.0,6735055.75
2023/01/02,7458.71,18875.05,871466,1321425,0.0,5107940.43
2023/01/09,11756.15,25436.97,1018332,2211769,0.0,5887861.75
2023/01/16,11068.42,15142.29,1011529,1254931,0.0,4873132.98
2023/01/23,10346.97,11911.62,891334,811372,0.0,3871309.93
2023/01/30,11967.42,12864.27,1012678,912408,0.0,3808669.08
2023/02/06,24293.8,13991.02,1964054,971441,0.05,4740031.8
2023/02/13,9449.03,37985.68,776859,2458750,0.05,6013696.32
2023/02/20,19679.08,13527.97,1711797,871654,0.0,4999563.87
2023/02/27,6814.8,24184.6,559735,2130271,0.0,5360929.32
2023/03/06,11684.82,13147.35,1211082,961559,0.0,4441974.26
2023/03/13,14258.4,24985.49,1528907,1786452,0.0,5506825.62
2023/03/20,16890.2,20634.77,1617156,1689793,0.0,5776303.24
2023/03/27,17756.21,17071.69,1646349,1307517,0.0,5397665.97
2023/04/03,18349.16,17778.29,1838237,1565986,0.0,5818317.8
2023/04/10,11620.31,14340.23,1336338,1196105,0.0,5054220.21
2023/04/17,11103.98,21080.95,1266356,1568024,0.0,5193313.59
2023/04/24,18829.69,15378.96,1539120,1096378,0.0,4898973.8
2023/05/01,12375.55,11743.3,1079889,1052187,0.0,4390482.96
2023/05/08,8020.25,11530.16,717570,940086,0.05,3745414.82
2023/05/15,8490.35,19156.66,763923,1696051,0.05,4588167.07
2023/05/22,9248.52,31340.98,951204,1991856,0.05,5367732.82
2023/05/29,16299.09,19072.39,1575314,1630994,0.0,5755500.88
2023/06/05,14142.93,17300.26,1159298,1368661,0.05,5207417.94
2023/06/12,17609.51,19931.15,1671926,1268770,0.0,5297235.37
2023/06/19,11260.98,28484.08,1136797,2211724,0.0,6140027.88
2023/06/26,14234.39,19472.99,1196640,1569190,0.05,5466917.81
2023/07/03,17158.28,15617.94,1944691,942840,0.0,5061524.71
2023/07/10,11804.8,26561.05,968919,1955677,0.0,5403870.64
2023/07/17,16037.9,20953.58,1876333,1776066,0.05,5867318.36
2023/07/24,10252.02,30869.21,860805,2125677,0.1,5581221.51
2023/07/31,11553.9,19228.18,1314175,1418201,0.15,4861669.06
2023/08/07,11467.87,11747.97,1331490,860767,0.0,3832965.83
2023/08/14,8280.55,11171.76,986898,771497,0.0,3137401.97
2023/08/21,16232.8,32138.98,1819388,2813872,0.05,5606964.82
2023/08/28,11072.71,32967.68,1231054,2750784,0.0,5758908.13
2023/09/04,13426.66,16935.52,1419189,1072317,0.1,4082656.2
2023/09/11,16192.42,15770.31,1799947,1417925,0.0,4140771.82
2023/09/18,15972.32,30076.68,1363749,2597903,0.0,4994508.67
2023/09/25,17433.59,12240.85,1768510,838709,0.0,3730457.98
2023/10/02,12843.66,13185.14,1291673,1122146,0.1,3385304.6
2023/10/09,11278.81,22587.78,1289200,1427380,0.0,3555825.9
2023/10/16,12940.44,15707.42,1274788,1413245,0.0,3615690.01
2023/10/23,6802.64,18001.45,648996,1439585,0.0,3342847.1
2023/10/30,7488.73,17031.08,790679,1354034,0.0,3272488.76
2023/11/06,7870.84,20295.43,713558,1272791,0.0,3147727.62
2023/11/13,8965.16,29513.96,767334,2565087,0.05,4646299.04
2023/11/20,15676.37,18614.66,1553764,1133074,0.0,4207763.88
2023/11/27,9300.36,22592.62,899117,1518785,0.1,4239236.33
2023/12/04,11484.29,8799.41,1025578,565719,0.1,3247991.49
2023/12/11,22464.49,17728.85,2127398,1476867,0.0,4978322.18
2023/12/18,11585.32,13424.94,1096616,885322,0.0,4152786.48
2023/12/25,17943.91,11771.25,1670575,1027855,0.05,4580299.97
